"pmGroupId";"category";"consistentData";"generation";"switchingTechnology";"validity";"moClass";"model";"subtree";"description";"pmGroupVersion";"measurementTypeId";"measurementName";"size";"collectionMethod";"description";"condition";"aggregation";"measurementStatus";"measurementResult";"multiplicity";"initialValue";"resetAtGranPeriod";"derSampleRate";"fmAlarmType";"thresholdDirection";"isCompressed"
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocInDiscardedDataChunks";"sctpAssocInDiscardedDataChunks";8;"CC";"Number of received DATA chunks that were discarded due to lack of space in the receive buffer. ";"A received chunk is discarded.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocPeerZeroWindows";"sctpAssocPeerZeroWindows";8;"CC";"Number of times that the association has started the zero window supervision procedure. ";"The association starts the zero window supervision procedure.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocDelayRTTAvg";"sctpAssocDelayRTTAvg";8;"GAUGE";"Average Round Trip Time value from all valid one minute intervals within ROP. ";;"LAST_UPDATE";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocOutDataChunks";"sctpAssocOutDataChunks";8;"CC";"Number of transmitted DATA chunks (excluding retransmissions).";"A DATA chunk is transmitted.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocUnavailRtx";"sctpAssocUnavailRtx";8;"CC";"Number of times that the association has become unavailable to the SCTP user because all paths forming part of this association became inactive for one of the following reasons:\n\n- Retransmission limit was reached\n- an ICMP message is received and is treated as if the retransmission limit was reached ";"State change from any state directly to CLOSED after the maximum number of retransmissions is reached, or if an ICMP message is received and breaks the retransmission counter.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocTimeUnavail";"sctpAssocTimeUnavail";8;"CC";"Number of seconds the association has been unavailable to the SCTP user.\n\nUnit: 1 s";"The accumulated time in DISABLED operational state reaches one second.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocTimePeerZeroWindow";"sctpAssocTimePeerZeroWindow";8;"CC";"Number of seconds that the remote peer has claimed to have zero window for its receive buffer.";"The accumulated time the association has spent on zero window supervision reaches one second.";"SUM";"USED";"OK";1;0;true;0;;;false
"SctpAssociation";;;;;true;SctpAssociation;RtnSctp;Transport;"Statistics for SCTP association";"YZCteojSTHZiE3oVrPcFz7JbdGw=";"sctpAssocInPacks";"sctpAssocInPacks";8;"CC";"Number of received packets for this association, including duplicates and those received in error.";"An SCTP packet is received.";"SUM";"USED";"OK";1;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifHCOutBroadcastPkts";"ifHCOutBroadcastPkts";8;"CC";"The total number of broadcast packets that are requested to be transmitted. Broadcast packets counted by ifOutDiscards and ifOutErrors are included. Standard reference: RFC 2863, section 6.";;"SUM";"USED";"OK";1;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifHCOutUcastPkts";"ifHCOutUcastPkts";8;"CC";"The total number of unicast packets that are requested to be transmitted. Unicast packets counted by ifOutDiscards and ifOutErrors are included. Standard reference: RFC 2863, section 6.";;"SUM";"USED";"OK";1;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifOutErrors";"ifOutErrors";8;"CC";"The number of outbound packets that could not be transmitted because of errors. Standard reference: RFC 2863, section 6.";;"SUM";"USED";"OK";1;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifHCInUcastPkts";"ifHCInUcastPkts";8;"CC";"The number of unicast packets  forwarded to a bridge or delivered to a higher (sub-)layer. Packets counted by ifInErrors, ifInUnknownProtos, ifInUnknownTags and ifInDiscards are not included. Standard reference: RFC 2863, section 6.";;"SUM";"USED";"OK";1;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifInErrors";"ifInErrors";8;"CC";"The number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol. Standard reference: RFC 2863, section 6.";;"SUM";"USED";"OK";1;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifHCInBroadcastPkts";"ifHCInBroadcastPkts";8;"CC";"The number of broadcast packets forwarded to a bridge or delivered to a higher (sub-)layer. Packets counted by ifInErrors, ifInUnknownProtos, ifInUnknownTags and ifInDiscards are not included. Standard reference: RFC 2863, section 6.";;"SUM";"USED";"OK";1;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifOutDiscards";"ifOutDiscards";8;"CC";"The number of outbound packets which were discarded even though no errors had been detected, for example due to lack of buffer space or traffic shaping. Standard reference: RFC 2863, section 6.";;"SUM";"USED";"OK";1;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifInUnknownTags";"ifInUnknownTags";8;"CC";"The number of packets received via the interface which were discarded because of an unknown VLAN ID.";;"SUM";"USED";"OK";1;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifInOctetRatePercentiles";"ifInOctetRatePercentiles";8;"GAUGE";"Distribution of the ingress throughput on the ethernet interface measured in octets per second. The throughput samples are based on ifHCInOctets and are taken every second. This counter is not supported for EthernetPort MO when using IDL port.";"Each bin is calculated as a percentile value at the end of the ROP period. 7 percentile values are presented in the bins [0,1,...,6] = [P0, P95, P96, P97, P98, P99, P100].";"LAST_UPDATE";"USED";"OK";7;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifHCInMulticastPkts";"ifHCInMulticastPkts";8;"CC";"The number of multicast packets forwarded to a bridge or delivered to a higher (sub-)layer. Packets counted by ifInErrors, ifInUnknownProtos, ifInUnknownTags and ifInDiscards are not included. Standard reference: RFC 2863, section 6.";;"SUM";"USED";"OK";1;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifHCOutOctets";"ifHCOutOctets";8;"CC";"The total number of octets transmitted out of the interface, including framing characters. Standard reference: RFC 2863, section 6.";;"SUM";"USED";"OK";1;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifHCInOctets";"ifHCInOctets";8;"CC";"The total number of octets received on the interface, including framing characters.Standard reference: RFC 2863, section 6.";;"SUM";"USED";"OK";1;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifInUnknownProtos";"ifInUnknownProtos";8;"CC";"The number of packets received via the interface which were discarded because of an unknown or unsupported protocol. Standard reference: RFC 2863, section 6.";;"SUM";"USED";"OK";1;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifTotalLossOfSignalDuration";"ifTotalLossOfSignalDuration";8;"CC";"Total duration in milliseconds where connection is lost due to Ethernet link failures, measured via the loss of signal detection.";;"SUM";"USED";"OK";1;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifInDiscards";"ifInDiscards";8;"CC";"The number of inbound packets which were chosen to be discarded even though no errors had been detected to prevent their being deliverable to a higher-layer protocol. Standard reference: RFC 2863, section 6.";;"SUM";"USED";"OK";1;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifHCOutMulticastPkts";"ifHCOutMulticastPkts";8;"CC";"The total number of multicast packets that are requested to be transmitted. Multicast packets counted by ifOutDiscards and ifOutErrors are included. Standard reference: RFC 2863, section 6.";;"SUM";"USED";"OK";1;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifMaxLossOfSignalDuration";"ifMaxLossOfSignalDuration";8;"GAUGE";"Maximum duration in milliseconds where connection is lost due to Ethernet link failures, measured via the loss of signal detection.";;"MAX";"USED";"OK";1;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifHCLossOfSignal";"ifHCLossOfSignal";8;"CC";"The total number of times connection is lost due to Ethernet link failures, measured via the loss of signal detection.";;"SUM";"USED";"OK";1;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifOutOctetRatePercentiles";"ifOutOctetRatePercentiles";8;"GAUGE";"Distribution of the egress throughput on the ethernet interface measured in octets per second. The throughput samples are based on ifHCOutOctets and are taken every second. This counter is not supported for EthernetPort MO when using IDL port.";"Each bin is calculated as a percentile value at the end of the ROP period. 7 percentile values are presented in the bins [0,1,...,6] = [P0, P95, P96, P97, P98, P99, P100].";"LAST_UPDATE";"USED";"OK";7;0;true;0;;;false
"EthernetPort";;;;;true;EthernetPort;RtnEthernetPortStatistics;Transport;"Ethernet Port Statistics";"PX5bafOE8eU5SoF8vFx2AA23xGM=";"ifMinLossOfSignalDuration";"ifMinLossOfSignalDuration";8;"GAUGE";"Minimum duration in milliseconds where connection is lost due to Ethernet link failures, measured via the loss of signal detection.";;"MIN";"USED";"OK";1;0;true;0;;;false
"EDchResourcesCell";;;"UMTS";;true;EDchResourcesCell;Wrat;NodeBFunction;"Contains all PM counters for EDchResourcesCell";"/jW0mG2wmvvcnGqjanOhIkY3E0w=";"pmSumCapacityServEDchUsers";"pmSumCapacityServEDchUsers";8;"CC";"Sum of sample values recorded during ROP for number of Serving E-DCH users.";"New sampled value is added each second of the granuality period. Measurement starts when EUL resources are setup.";"SUM";"USED";;1;0;true;;;;false
"EDchResourcesCell";;;"UMTS";;true;EDchResourcesCell;Wrat;NodeBFunction;"Contains all PM counters for EDchResourcesCell";"/jW0mG2wmvvcnGqjanOhIkY3E0w=";"pmSamplesCapacityServEDchUsers";"pmSamplesCapacityServEDchUsers";8;"CC";"Number of samples in pmSumCapacityServEDchUsers.\npmSamplesCapacityServEDchUsers = pmSamplesCapacityServEDchUsers + 1, whenever pmSumCapacityServEDchUsers is updated.";"Stepped each time a measurement value is sampled for pmSumCapacityServEDchUsers. Measurement starts when EUL resources are setup.";"SUM";"USED";;1;0;true;;;;false
"EDchResourcesCell";;;"UMTS";;true;EDchResourcesCell;Wrat;NodeBFunction;"Contains all PM counters for EDchResourcesCell";"/jW0mG2wmvvcnGqjanOhIkY3E0w=";"pmCommonChPowerEul";"pmCommonChPowerEul";2;"CC";" Total DL power used for the E-AGCH, E-RGCH and E-HICH in the cell.\n\nBins:\n[0]: Number of samples in range [0..1[ dBm\n[1]: Number of samples in range [1..2[ dBm\n...\n[39]: Number of samples in range [39..40[ dBm\n[40]: Number of samples greater than or equal to 40 dBm\n      ";"Sample every 100 ms is an average over 100 ms. \n      Measurement starts when EUL resources are setup. Counter is not stepped because of EUL FACH activity.\n      ";"SUM";"USED";;41;0;true;;;;false
"EDchResourcesCell";;;"UMTS";;true;EDchResourcesCell;Wrat;NodeBFunction;"Contains all PM counters for EDchResourcesCell";"/jW0mG2wmvvcnGqjanOhIkY3E0w=";"pmCapacityAllocRejServEDchUsers";"pmCapacityAllocRejServEDchUsers";8;"CC";"Number of rejected attempts to allocate resources for new Serving E-DCH user (related to pmCapacityLimitServEDchUser).";"Sample taken each granularity period. Measurement starts when EUL resources are setup.";"SUM";"USED";;1;0;true;;;;false
"EDchResourcesCell";;;"UMTS";;true;EDchResourcesCell;Wrat;NodeBFunction;"Contains all PM counters for EDchResourcesCell";"/jW0mG2wmvvcnGqjanOhIkY3E0w=";"pmCapacityOfServEDchUsers";"pmCapacityOfServEDchUsers";8;"CC";"Distribution of number of Serving E-DCH users, as percentages of licensed limit visible in pmCapacityLimitServEDchUsers.\nBins:\n[0]: Number of sampled values in range [0..20[ %\n[1]: Number of sampled values in range [20..40[ %\n[2]: Number of sampled values in range [40..50[ %\n[3]: Number of sampled values in range [50..60[ %\n[4]: Number of sampled values in range [60..70[ %\n[5]: Number of sampled values in range [70..80[ %\n[6]: Number of sampled values in range [80..85[ %\n[7]: Number of sampled values in range [85..90[ %\n[8]: Number of sampled values in range [90..95[ %\n[9]: Number of sampled values >= 95%";"Sampled each second of the granularity period which gives 900 values. Measurement starts when EUL resources are setup. Counter is not stepped due to EUL FACH activity.";"SUM";"USED";;10;0;true;;;;false
"EDchResourcesCell";;;"UMTS";;true;EDchResourcesCell;Wrat;NodeBFunction;"Contains all PM counters for EDchResourcesCell";"/jW0mG2wmvvcnGqjanOhIkY3E0w=";"pmAllocRejEdchRlEul";"pmAllocRejEdchRlEul";8;"CC";"Number of rejected attempts to allocate E-DCH radio links in EUL scheduler. Includes number of removed E-DCH radio links due EUL user setup, when limit is reached of total number of E-DCH radio links in baseband pool.";"Stepped for each rejected allocation attempt.";"SUM";"USED";;1;0;true;;;;false
"EDchResourcesCell";;;"UMTS";;true;EDchResourcesCell;Wrat;NodeBFunction;"Contains all PM counters for EDchResourcesCell";"/jW0mG2wmvvcnGqjanOhIkY3E0w=";"pmCapacityAllocAttServEDchUsers";"pmCapacityAllocAttServEDchUsers";8;"CC";"Number of attempts to allocate resources for new Serving E-DCH user.\nIf the corresponding carrier is part of a cell using more than one carrier, its value is undefined";"Stepped for each allocation attempt. Measurement starts when EUL resources are setup.";"SUM";"USED";;1;0;true;;;;false
"EDchResourcesCell";;;"UMTS";;true;EDchResourcesCell;Wrat;NodeBFunction;"Contains all PM counters for EDchResourcesCell";"/jW0mG2wmvvcnGqjanOhIkY3E0w=";"pmCapacityLimitServEDchUsers";"pmCapacityLimitServEDchUsers";8;"GAUGE";"Licensed limit for number of Serving E-DCH users in the cell.\nLicense key value if valid license key, else default value of NodeBLocalCell::maxNumEulUsers if invalid/missing license key, else max value of NodeBLocalCell::maxNumEulUsers if emergency unlock is active.";"Sampled when the limit changes.";"LAST_UPDATE";"USED";;1;0;false;;;;false
"InterfaceIPv6";;;;;true;InterfaceIPv6;Rtnipv6InterfaceStatistics;Transport;"Ipv6 If statistics";"w95cw4kaeH+On66hzSYqZfrS0w0=";"ipIfStatsInTruncatedPkts";"ipIfStatsInTruncatedPkts";8;"CC";"The number of input IP datagrams discarded because the datagram frame did not carry enough data. Not applicable for an IP Loopback Interface, that is, if the attribute loopback is set. Specification: RFC 4293, section 5.";;"SUM";"USED";"OK";1;0;true;0;;;false
"InterfaceIPv6";;;;;true;InterfaceIPv6;Rtnipv6InterfaceStatistics;Transport;"Ipv6 If statistics";"w95cw4kaeH+On66hzSYqZfrS0w0=";"ipIfStatsHCOutMcastPkts";"ipIfStatsHCOutMcastPkts";8;"CC";"The number of IP multicast datagrams transmitted. Not applicable for an IP Loopback Interface, that is, if the attribute loopback is set. Specification: RFC 4293, section 5.";;"SUM";"USED";"OK";1;0;true;0;;;false
"InterfaceIPv6";;;;;true;InterfaceIPv6;Rtnipv6InterfaceStatistics;Transport;"Ipv6 If statistics";"w95cw4kaeH+On66hzSYqZfrS0w0=";"ipIfStatsInUnknownProtos";"ipIfStatsInUnknownProtos";8;"CC";"The number of locally-addressed IP datagrams received successfully but discarded because of an unknown or unsupported protocol. Not applicable for an IP Loopback Interface, that is, if the attribute loopback is set. Specification: RFC 4293, section 5.";;"SUM";"USED";"OK";1;0;true;0;;;false
"InterfaceIPv6";;;;;true;InterfaceIPv6;Rtnipv6InterfaceStatistics;Transport;"Ipv6 If statistics";"w95cw4kaeH+On66hzSYqZfrS0w0=";"ipIfStatsOutFragOKs";"ipIfStatsOutFragOKs";8;"CC";"The number of IP datagrams that have been successfully fragmented. Not applicable for an IP Loopback Interface, that is, if the attribute loopback is set. Specification: RFC 4293, section 5.";;"SUM";"USED";"OK";1;0;true;0;;;false
"InterfaceIPv6";;;;;true;InterfaceIPv6;Rtnipv6InterfaceStatistics;Transport;"Ipv6 If statistics";"w95cw4kaeH+On66hzSYqZfrS0w0=";"ipIfStatsHCInReceives";"ipIfStatsHCInReceives";8;"CC";"The total number of input IP datagrams received, including those received in error. Not applicable for an IP Loopback Interface, that is, if the attribute loopback is set. Specification: RFC 4293, section 5.";;"SUM";"USED";"OK";1;0;true;0;;;false
"InterfaceIPv6";;;;;true;InterfaceIPv6;Rtnipv6InterfaceStatistics;Transport;"Ipv6 If statistics";"w95cw4kaeH+On66hzSYqZfrS0w0=";"ipIfStatsHCOutTransmits";"ipIfStatsHCOutTransmits";8;"CC";"The total number of IP datagrams that this entity supplied to the lower layers for transmission. Not applicable for an IP Loopback Interface, that is, if the attribute loopback is set. Specification: RFC 4293, section 5.";;"SUM";"USED";"OK";1;0;true;0;;;false
"InterfaceIPv6";;;;;true;InterfaceIPv6;Rtnipv6InterfaceStatistics;Transport;"Ipv6 If statistics";"w95cw4kaeH+On66hzSYqZfrS0w0=";"ipIfStatsReasmFails";"ipIfStatsReasmFails";8;"CC";"The number of failures detected by the IP re-assembly algorithm. Specification: RFC 4293, section 5.";;"SUM";"USED";"OK";1;0;true;0;;;false
"InterfaceIPv6";;;;;true;InterfaceIPv6;Rtnipv6InterfaceStatistics;Transport;"Ipv6 If statistics";"w95cw4kaeH+On66hzSYqZfrS0w0=";"ipIfInOctetRatePercentiles";"ipIfInOctetRatePercentiles";8;"GAUGE";"Distribution of the ingress throughput on the IPv6 interface measured in octets per second.\nThe throughput samples are based on ipIfStatsHCInOctets and are taken every second.";"Each bin is calculated as a percentile value at the end of the ROP period. 7 percentile values are presented in the bins [0,1,...,6] = [P0, P95, P96, P97, P98, P99, P100].";"LAST_UPDATE";"USED";"OK";7;0;true;0;;;false
